mode=fix ef_search=120 iterative_scan=relaxed_order probes=12
query | knn_rows | knn_ms | exact_in_scope_top50 | exact_max_cosine
"the fall of Jerusalem in 70 AD" | 50 | 527 | 50 | 0.754
"the destruction of the second temple" | 50 | 183 | 50 | 0.754
"the siege of Masada" | 50 | 178 | 50 | 0.734
"the martyrdom of early Christians under Nero" | 50 | 312 | 50 | 0.696
"the conversion of Constantine" | 50 | 327 | 50 | 0.673
"the council of Nicaea and the Arian controversy" | 50 | 288 | 50 | 0.715
"the edict of Milan" | 50 | 257 | 50 | 0.669
"monasticism in the Egyptian desert" | 50 | 161 | 50 | 0.680
"the sack of Rome by the Visigoths" | 50 | 108 | 50 | 0.708
"Augustine of Hippo and his conversion" | 50 | 230 | 50 | 0.645
"the persecution of Christians under Diocletian" | 50 | 171 | 50 | 0.698
"the siege of Jerusalem by Titus" | 50 | 95 | 50 | 0.795
